id,date,title,source,judge,type,outlet,article_hint,search_query
2145,2020.03.18,학교에는 ‘일 안 해도 월급 받는 그룹’이 있다, 조희연 서울시 교육감 페이스북 페이지 출처: 중앙일보 기사 ,대체로 사실 아님,SKIP,,,
2143,2020.03.17,변종 코로나19 바이러스가 이탈리아를 휩쓸고 있다," 인터넷 커뮤니티, 단체 채팅방 등",대체로 사실 아님,SKIP,,,
2142,2020.03.17,"""의약계가 코로나19 변이에 따른 2차 파동 우려하고 있다""", 개인블로그출처: 단체블로그,전혀 사실 아님,SKIP,,,
2140,2020.03.17,“코로나19에 걸렸다 나은 뒤에도 폐손상이 너무 심하다더라”, 카카오톡 캡쳐 이미지,대체로 사실 아님,SKIP,,,
2137,2020.03.16,"""중국유학생 모시느라 한국의료진에 마스크와 방호복도 지급 못한다.""", 가로세로연구소 유튜브 동영상,전혀 사실 아님,SKIP,,,
2136,2020.03.16,"""길거리 방역 효과 없다""", 온라인 커뮤니티 디시인사이드 게시글출처: 온라인 커뮤니티 디시인사이드 게시글 댓글출처: 온라인 커뮤니티 클리앙 게시글 댓글출처: 온라인 커뮤니티 디시인사이드 게시글,대체로 사실,SKIP,,,
2135,2022.04.29,"‘美 CDC 코로나19 주의사항 10가지’, 사실이다"," 페이스북, 단체 채팅방, SNS 등",대체로 사실 아님,SKIP,,,
2134,2022.04.29,"美의료진 60명, 주한미군 기지서 코로나19 백신 개발했다"," 네이버 블로그, 인터넷 커뮤니티, 단체채팅방 등",전혀 사실 아님,SKIP,,,
2133,2020.03.13,개성공단 재가동해 마스크 생산?, 더불어민주당 최고위원회 모두발언출처: 정의당 개성공단 마스크 생산을 위한 긴급간담회,대체로 사실 아님,TYPE_D,,,개성공단 재가동해 마스크 생산?
2132,2020.03.13,"""공적마스크 약국 유통을 맡은 민영업체, 수십억원 달하는 마진 챙겼다""", 미래통합당 곽상도 의원 공식 블로그출처: 곽상도 의원 주장 보도,대체로 사실 아님,SKIP,,,
2131,2020.03.13,"""소금물에 담갔다 말리면 마스크 재활용 가능""", 시청자 제보 & 트위터 등 SNS,전혀 사실 아님,SKIP,,,
2130,2020.03.12,약국에서 공적 마스크를 구입하면 개인정보가 유출돼 선거 조작에 활용된다?, 인터넷 커뮤니티출처: 유튜브,전혀 사실 아님,SKIP,,,
